RXDDRGID,RXDDRUG,RXDINGFL,RXDDCI1A,RXDDCI1B,RXDDCI1C,RXDDCI2A,RXDDCI2B,RXDDCI2C,RXDDCI3A,RXDDCI3B,RXDDCI3C,RXDDCI4A,RXDDCI4B,RXDDCI4C,RXDICI1A,RXDICI1B,RXDICI1C,RXDICI2A,RXDICI2B,RXDICI2C,RXDICI3A,RXDICI3B,RXDICI3C,RXDICI4A,RXDICI4B,RXDICI4C,RXDICI5A,RXDICI5B,RXDICI5C,RXDICI6A,RXDICI6B,RXDICI6C,RXDDCN1A,RXDDCN1B,RXDDCN1C,RXDDCN2A,RXDDCN2B,RXDDCN2C,RXDDCN3A,RXDDCN3B,RXDDCN3C,RXDDCN4A,RXDDCN4B,RXDDCN4C,RXDICN1A,RXDICN1B,RXDICN1C,RXDICN2A,RXDICN2B,RXDICN2C,RXDICN3A,RXDICN3B,RXDICN3C,RXDICN4A,RXDICN4B,RXDICN4C,RXDICN5A,RXDICN5B,RXDICN5C,RXDICN6A,RXDICN6B,RXDICN6C
d03839,MYCOPHENOLATE MOFETIL,1,254,104,444,,,,,,,,,,254,104,444,,,,,,,,,,,,,,,,IMMUNOLOGIC AGENTS,IMMUNOSUPPRESSIVE AGENTS,SELECTIVE IMMUNOSUPPRESSANTS,,,,,,,,,,IMMUNOLOGIC AGENTS,IMMUNOSUPPRESSIVE AGENTS,SELECTIVE IMMUNOSUPPRESSANTS,,,,,,,,,,,,,,,
d03844,DIRITHROMYCIN,1,1,11,304,,,,,,,,,,1,11,304,,,,,,,,,,,,,,,,ANTI-INFECTIVES,MACROLIDE DERIVATIVES,MACROLIDES,,,,,,,,,,ANTI-INFECTIVES,MACROLIDE DERIVATIVES,MACROLIDES,,,,,,,,,,,,,,,
d03846,ACARBOSE,1,358,99,216,,,,,,,,,,358,99,216,,,,,,,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,ALPHA-GLUCOSIDASE INHIBITORS,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,ALPHA-GLUCOSIDASE INHIBITORS,,,,,,,,,,,,,,,
d03847,CARVEDILOL,1,40,47,275,,,,,,,,,,40,47,275,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,"BETA BLOCKERS, NON-CARDIOSELECTIVE",,,,,,,,,,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,"BETA BLOCKERS, NON-CARDIOSELECTIVE",,,,,,,,,,,,,,,
d03848,AZELAIC ACID TOPICAL,1,133,136,143,133,136,461,,,,,,,133,136,143,133,136,461,,,,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ACNE AGENTS,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANTI-ROSACEA AGENTS,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ACNE AGENTS,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANTI-ROSACEA AGENTS,,,,,,,,,,,,
d03849,ALENDRONATE,1,358,409,217,,,,,,,,,,358,409,217,,,,,,,,,,,,,,,,METABOLIC AGENTS,BONE RESORPTION INHIBITORS,BISPHOSPHONATES,,,,,,,,,,METABOLIC AGENTS,BONE RESORPTION INHIBITORS,BISPHOSPHONATES,,,,,,,,,,,,,,,
d03850,BICALUTAMIDE,1,20,24,,97,420,,,,,,,,20,24,,97,420,,,,,,,,,,,,,,ANTINEOPLASTICS,ANTINEOPLASTIC HORMONES,,HORMONES/HORMONE MODIFIERS,ANTIANDROGENS,,,,,,,,ANTINEOPLASTICS,ANTINEOPLASTIC HORMONES,,HORMONES/HORMONE MODIFIERS,ANTIANDROGENS,,,,,,,,,,,,,
d03857,BENZOYL PEROXIDE; ERYTHROMYCIN TOPICAL,2,133,136,143,,,,,,,,,,133,136,143,133,136,290,,,,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ACNE AGENTS,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ACNE AGENTS,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANTIBIOTICS,,,,,,,,,,,,
d03858,LAMIVUDINE,1,1,7,176,,,,,,,,,,1,7,176,,,,,,,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,NRTIS,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,NRTIS,,,,,,,,,,,,,,,
d03860,SAQUINAVIR,1,1,7,175,,,,,,,,,,1,7,175,,,,,,,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,PROTEASE INHIBITORS,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,PROTEASE INHIBITORS,,,,,,,,,,,,,,,
d03863,TRETINOIN,1,20,25,,,,,,,,,,,20,25,,,,,,,,,,,,,,,,,ANTINEOPLASTICS,MISCELLANEOUS ANTINEOPLASTICS,,,,,,,,,,,ANTINEOPLASTICS,MISCELLANEOUS ANTINEOPLASTICS,,,,,,,,,,,,,,,,
d03864,GLIMEPIRIDE,1,358,99,213,,,,,,,,,,358,99,213,,,,,,,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,SULFONYLUREAS,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,SULFONYLUREAS,,,,,,,,,,,,,,,
d03873,ANASTROZOLE,1,20,24,,97,423,,,,,,,,20,24,,97,423,,,,,,,,,,,,,,ANTINEOPLASTICS,ANTINEOPLASTIC HORMONES,,HORMONES/HORMONE MODIFIERS,AROMATASE INHIBITORS,,,,,,,,ANTINEOPLASTICS,ANTINEOPLASTIC HORMONES,,HORMONES/HORMONE MODIFIERS,AROMATASE INHIBITORS,,,,,,,,,,,,,
d03874,CEFTIBUTEN,1,1,9,161,,,,,,,,,,1,9,161,,,,,,,,,,,,,,,,ANTI-INFECTIVES,CEPHALOSPORINS,THIRD GENERATION CEPHALOSPORINS,,,,,,,,,,ANTI-INFECTIVES,CEPHALOSPORINS,THIRD GENERATION CEPHALOSPORINS,,,,,,,,,,,,,,,
d03879,CANNABIS,1,105,114,,,,,,,,,,,105,114,,,,,,,,,,,,,,,,,MISCELLANEOUS AGENTS,ILLICIT (STREET) DRUGS,,,,,,,,,,,MISCELLANEOUS AGENTS,ILLICIT (STREET) DRUGS,,,,,,,,,,,,,,,,
d03892,HISTAMINE PHOSPHATE,1,105,110,,,,,,,,,,,105,110,,,,,,,,,,,,,,,,,MISCELLANEOUS AGENTS,MISCELLANEOUS UNCATEGORIZED AGENTS,,,,,,,,,,,MISCELLANEOUS AGENTS,MISCELLANEOUS UNCATEGORIZED AGENTS,,,,,,,,,,,,,,,,
d03896,AMYLASE; CELLULASE; LIPASE; PROTEASE,2,87,91,,,,,,,,,,,87,91,,87,96,,,,,,,,,,,,,,GASTROINTESTINAL AGENTS,DIGESTIVE ENZYMES,,,,,,,,,,,GASTROINTESTINAL AGENTS,DIGESTIVE ENZYMES,,GASTROINTESTINAL AGENTS,MISCELLANEOUS GI AGENTS,,,,,,,,,,,,,
d03906,PHENIRAMINE; PHENYLTOLOXAMINE; PYRILAMINE,2,122,123,,,,,,,,,,,57,67,70,122,123,,,,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,"ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS",RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,
d03911,CHLORPHENIRAMINE; METHSCOPOLAMINE; PSEUDOEPHEDRINE,2,122,132,,,,,,,,,,,87,355,89,122,123,,122,127,,,,,,,,,,,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,GASTROINTESTINAL AGENTS,FUNCTIONAL BOWEL DISORDER AGENTS,ANTICHOLINERGICS/ANTISPASMODICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,,,
d03915,HYDROCODONE; POTASSIUM GUAIACOLSULFONATE,2,122,132,,,,,,,,,,,57,58,60,122,124,,122,128,,,,,,,,,,,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,
d03927,BACITRACIN OPHTHALMIC,1,133,147,163,,,,,,,,,,133,147,163,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,,,,,,
d03952,CITRIC ACID; SODIUM CITRATE,2,115,117,,,,,,,,,,,87,95,,113,265,,115,117,,,,,,,,,,,NUTRITIONAL PRODUCTS,MINERALS AND ELECTROLYTES,,,,,,,,,,,GASTROINTESTINAL AGENTS,LAXATIVES,,GENITOURINARY TRACT AGENTS,URINARY PH MODIFIERS,,NUTRITIONAL PRODUCTS,MINERALS AND ELECTROLYTES,,,,,,,,,,
d03960,POTASSIUM BICARBONATE; POTASSIUM CHLORIDE,2,115,117,,,,,,,,,,,115,117,,,,,,,,,,,,,,,,,NUTRITIONAL PRODUCTS,MINERALS AND ELECTROLYTES,,,,,,,,,,,NUTRITIONAL PRODUCTS,MINERALS AND ELECTROLYTES,,,,,,,,,,,,,,,,
d03962,POTASSIUM BICARBONATE; POTASSIUM CITRATE,2,115,117,,,,,,,,,,,113,265,,115,117,,,,,,,,,,,,,,NUTRITIONAL PRODUCTS,MINERALS AND ELECTROLYTES,,,,,,,,,,,GENITOURINARY TRACT AGENTS,URINARY PH MODIFIERS,,NUTRITIONAL PRODUCTS,MINERALS AND ELECTROLYTES,,,,,,,,,,,,,
d03965,BACITRACIN; POLYMYXIN B OPHTHALMIC,2,133,147,163,,,,,,,,,,133,147,163,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,,,,,,
d03971,EPINEPHRINE OPHTHALMIC,1,133,147,164,,,,,,,,,,133,147,164,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC GLAUCOMA AGENTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC GLAUCOMA AGENTS,,,,,,,,,,,,,,,
d03973,ERYTHROMYCIN OPHTHALMIC,1,133,147,163,,,,,,,,,,133,147,163,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,,,,,,
d03974,GENTAMICIN OPHTHALMIC,1,133,147,163,,,,,,,,,,133,147,163,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,,,,,,
d03977,OFLOXACIN OPHTHALMIC,1,133,147,163,,,,,,,,,,133,147,163,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,,,,,,
d03980,SULFISOXAZOLE OPHTHALMIC,1,133,147,163,,,,,,,,,,133,147,163,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,,,,,,
d03981,TETRACAINE OPHTHALMIC,1,133,147,287,,,,,,,,,,133,147,287,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANESTHETICS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANESTHETICS,,,,,,,,,,,,,,,
d03984,RITONAVIR,1,1,7,175,1,7,480,,,,,,,1,7,175,1,7,480,,,,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,PROTEASE INHIBITORS,ANTI-INFECTIVES,ANTIVIRAL AGENTS,ANTIVIRAL BOOSTERS,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,PROTEASE INHIBITORS,ANTI-INFECTIVES,ANTIVIRAL AGENTS,ANTIVIRAL BOOSTERS,,,,,,,,,,,,
d03985,INDINAVIR,1,1,7,175,,,,,,,,,,1,7,175,,,,,,,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,PROTEASE INHIBITORS,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,PROTEASE INHIBITORS,,,,,,,,,,,,,,,
d03990,CARBAMIDE PEROXIDE OTIC,1,133,148,393,,,,,,,,,,133,148,393,,,,,,,,,,,,,,,,TOPICAL AGENTS,OTIC PREPARATIONS,CERUMENOLYTICS,,,,,,,,,,TOPICAL AGENTS,OTIC PREPARATIONS,CERUMENOLYTICS,,,,,,,,,,,,,,,
d03996,DIENESTROL TOPICAL,1,97,101,183,133,151,269,,,,,,,97,101,183,133,151,269,,,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,TOPICAL AGENTS,VAGINAL PREPARATIONS,MISCELLANEOUS VAGINAL AGENTS,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,TOPICAL AGENTS,VAGINAL PREPARATIONS,MISCELLANEOUS VAGINAL AGENTS,,,,,,,,,,,,
d04008,TRANDOLAPRIL,1,40,42,,,,,,,,,,,40,42,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS,,,,,,,,,,,,,,,,
d04009,DOCETAXEL,1,20,26,,,,,,,,,,,20,26,,,,,,,,,,,,,,,,,ANTINEOPLASTICS,MITOTIC INHIBITORS,,,,,,,,,,,ANTINEOPLASTICS,MITOTIC INHIBITORS,,,,,,,,,,,,,,,,
d04010,GEMCITABINE,1,20,23,,,,,,,,,,,20,23,,,,,,,,,,,,,,,,,ANTINEOPLASTICS,ANTIMETABOLITES,,,,,,,,,,,ANTINEOPLASTICS,ANTIMETABOLITES,,,,,,,,,,,,,,,,
d04011,INTERFERON BETA-1A,1,254,437,256,,,,,,,,,,254,437,256,,,,,,,,,,,,,,,,IMMUNOLOGIC AGENTS,IMMUNOSTIMULANTS,INTERFERONS,,,,,,,,,,IMMUNOLOGIC AGENTS,IMMUNOSTIMULANTS,INTERFERONS,,,,,,,,,,,,,,,
d04012,TERBINAFINE,1,1,4,237,,,,,,,,,,1,4,237,,,,,,,,,,,,,,,,ANTI-INFECTIVES,ANTIFUNGALS,MISCELLANEOUS ANTIFUNGALS,,,,,,,,,,ANTI-INFECTIVES,ANTIFUNGALS,MISCELLANEOUS ANTIFUNGALS,,,,,,,,,,,,,,,
d04015,ADAPALENE TOPICAL,1,133,136,143,,,,,,,,,,133,136,143,,,,,,,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ACNE AGENTS,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ACNE AGENTS,,,,,,,,,,,,,,,
d04017,LATANOPROST OPHTHALMIC,1,133,147,164,,,,,,,,,,133,147,164,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC GLAUCOMA AGENTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC GLAUCOMA AGENTS,,,,,,,,,,,,,,,
d04025,MIRTAZAPINE,1,242,249,307,,,,,,,,,,242,249,307,,,,,,,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,TETRACYCLIC ANTIDEPRESSANTS,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,TETRACYCLIC ANTIDEPRESSANTS,,,,,,,,,,,,,,,
d04026,IRINOTECAN,1,20,25,,,,,,,,,,,20,25,,,,,,,,,,,,,,,,,ANTINEOPLASTICS,MISCELLANEOUS ANTINEOPLASTICS,,,,,,,,,,,ANTINEOPLASTICS,MISCELLANEOUS ANTINEOPLASTICS,,,,,,,,,,,,,,,,
d04029,NEVIRAPINE,1,1,7,227,,,,,,,,,,1,7,227,,,,,,,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,NNRTIS,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,NNRTIS,,,,,,,,,,,,,,,
d04031,PILOCARPINE,1,57,312,,,,,,,,,,,57,312,,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CHOLINERGIC AGONISTS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CHOLINERGIC AGONISTS,,,,,,,,,,,,,,,,
d04032,SULFACETAMIDE SODIUM; SULFUR TOPICAL,2,133,136,290,,,,,,,,,,133,136,140,133,136,290,,,,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANTIBIOTICS,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,MISCELLANEOUS TOPICAL AGENTS,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANTIBIOTICS,,,,,,,,,,,,
d04035,AMPHETAMINE; DEXTROAMPHETAMINE,2,57,71,,,,,,,,,,,57,71,,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,,,,,,
d04037,TIMOLOL OPHTHALMIC,1,133,147,164,,,,,,,,,,133,147,164,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC GLAUCOMA AGENTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC GLAUCOMA AGENTS,,,,,,,,,,,,,,,
d04038,BETAXOLOL OPHTHALMIC,1,133,147,164,,,,,,,,,,133,147,164,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC GLAUCOMA AGENTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC GLAUCOMA AGENTS,,,,,,,,,,,,,,,
d04039,CARTEOLOL OPHTHALMIC,1,133,147,164,,,,,,,,,,133,147,164,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC GLAUCOMA AGENTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC GLAUCOMA AGENTS,,,,,,,,,,,,,,,
d04040,FEXOFENADINE,1,122,123,,,,,,,,,,,122,123,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
d04042,RANITIDINE BISMUTH CITRATE,1,87,94,,,,,,,,,,,87,94,,,,,,,,,,,,,,,,,GASTROINTESTINAL AGENTS,H2 ANTAGONISTS,,,,,,,,,,,GASTROINTESTINAL AGENTS,H2 ANTAGONISTS,,,,,,,,,,,,,,,,
d04047,MIDODRINE,1,40,51,,,,,,,,,,,40,51,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,MISCELLANEOUS CARDIOVASCULAR AGENTS,,,,,,,,,,,CARDIOVASCULAR AGENTS,MISCELLANEOUS CARDIOVASCULAR AGENTS,,,,,,,,,,,,,,,,
d04048,BRIMONIDINE OPHTHALMIC,1,133,147,164,,,,,,,,,,133,147,164,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC GLAUCOMA AGENTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC GLAUCOMA AGENTS,,,,,,,,,,,,,,,
d04049,AMMONIUM LACTATE TOPICAL,1,133,136,248,,,,,,,,,,133,136,248,,,,,,,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL EMOLLIENTS,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL EMOLLIENTS,,,,,,,,,,,,,,,
d04050,OLANZAPINE,1,242,251,341,,,,,,,,,,242,251,341,,,,,,,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIPSYCHOTICS,ATYPICAL ANTIPSYCHOTICS,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIPSYCHOTICS,ATYPICAL ANTIPSYCHOTICS,,,,,,,,,,,,,,,
d04052,PENTOSAN POLYSULFATE SODIUM,1,113,266,,,,,,,,,,,113,266,,,,,,,,,,,,,,,,,GENITOURINARY TRACT AGENTS,MISCELLANEOUS GENITOURINARY TRACT AGENTS,,,,,,,,,,,GENITOURINARY TRACT AGENTS,MISCELLANEOUS GENITOURINARY TRACT AGENTS,,,,,,,,,,,,,,,,
d04053,ZAFIRLUKAST,1,122,243,,,,,,,,,,,122,243,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,LEUKOTRIENE MODIFIERS,,,,,,,,,,,RESPIRATORY AGENTS,LEUKOTRIENE MODIFIERS,,,,,,,,,,,,,,,,
d04054,PENCICLOVIR TOPICAL,1,133,136,291,,,,,,,,,,133,136,291,,,,,,,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANTIVIRALS,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANTIVIRALS,,,,,,,,,,,,,,,
d04058,MELATONIN,1,57,67,70,218,219,,,,,,,,57,67,70,218,219,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,"ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS",ALTERNATIVE MEDICINES,NUTRACEUTICAL PRODUCTS,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,"ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS",ALTERNATIVE MEDICINES,NUTRACEUTICAL PRODUCTS,,,,,,,,,,,,,
d04061,BISMUTH SUBSALICYLATE; METRONIDAZOLE; TETRACYCLINE,2,87,354,,,,,,,,,,,1,2,,1,12,,1,16,,87,90,,,,,,,,GASTROINTESTINAL AGENTS,H. PYLORI ERADICATION AGENTS,,,,,,,,,,,ANTI-INFECTIVES,AMEBICIDES,,ANTI-INFECTIVES,MISCELLANEOUS ANTIBIOTICS,,ANTI-INFECTIVES,TETRACYCLINES,,GASTROINTESTINAL AGENTS,ANTIDIARRHEALS,,,,,,,
d04063,BUTENAFINE TOPICAL,1,133,136,292,,,,,,,,,,133,136,292,,,,,,,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANTIFUNGALS,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANTIFUNGALS,,,,,,,,,,,,,,,
d04065,TRANDOLAPRIL; VERAPAMIL,2,40,55,476,,,,,,,,,,40,42,,40,46,388,40,48,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIHYPERTENSIVE COMBINATIONS,ACE INHIBITORS WITH CALCIUM CHANNEL BLOCKING AGENTS,,,,,,,,,,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS,,CARDIOVASCULAR AGENTS,ANTIARRHYTHMIC AGENTS,GROUP IV ANTIARRHYTHMICS,CARDIOVASCULAR AGENTS,CALCIUM CHANNEL BLOCKING AGENTS,,,,,,,,,,
d04066,ALBUTEROL; IPRATROPIUM,2,122,125,181,,,,,,,,,,122,125,180,122,125,299,,,,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,BRONCHODILATOR COMBINATIONS,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,RESPIRATORY AGENTS,BRONCHODILATORS,ANTICHOLINERGIC BRONCHODILATORS,,,,,,,,,,,,
d04068,AZELASTINE NASAL,1,133,247,246,,,,,,,,,,133,247,246,,,,,,,,,,,,,,,,TOPICAL AGENTS,NASAL PREPARATIONS,NASAL ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,TOPICAL AGENTS,NASAL PREPARATIONS,NASAL ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,,,,,,
d04076,CHLOROXYLENOL; HYDROCORTISONE; PRAMOXINE OTIC,2,133,148,171,,,,,,,,,,133,148,170,133,148,370,133,148,392,,,,,,,,,,TOPICAL AGENTS,OTIC PREPARATIONS,OTIC STEROIDS WITH ANTI-INFECTIVES,,,,,,,,,,TOPICAL AGENTS,OTIC PREPARATIONS,OTIC ANTI-INFECTIVES,TOPICAL AGENTS,OTIC PREPARATIONS,OTIC STEROIDS,TOPICAL AGENTS,OTIC PREPARATIONS,OTIC ANESTHETICS,,,,,,,,,
d04079,CHLORPHENIRAMINE; EPINEPHRINE,2,105,106,,,,,,,,,,,40,54,,40,433,,122,123,,122,125,180,,,,,,,MISCELLANEOUS AGENTS,ANTIDOTES,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,CARDIOVASCULAR AGENTS,CATECHOLAMINES,,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,
d04089,AMINO ACIDS; UREA TOPICAL,2,133,151,269,,,,,,,,,,133,136,140,133,136,248,,,,,,,,,,,,,TOPICAL AGENTS,VAGINAL PREPARATIONS,MISCELLANEOUS VAGINAL AGENTS,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,MISCELLANEOUS TOPICAL AGENTS,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL EMOLLIENTS,,,,,,,,,,,,
d04090,LACTIC ACID TOPICAL,1,133,136,140,,,,,,,,,,133,136,140,,,,,,,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,MISCELLANEOUS TOPICAL AGENTS,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,MISCELLANEOUS TOPICAL AGENTS,,,,,,,,,,,,,,,
